รหัสโรงเรียน,ชื่อโรงเรียน,ระดับชั้น,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,โทร,แฟกซ์,เขต,ประเภท 1
60103253,ศพด.บุ่งผักหนาม,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103254,ศพด.บ้านปางสุด,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103255,ศพด.บ้านคลองไทร,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103256,ศพด.บ้านหินดาต,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103257,ศพด.บ้านใหม่เจ้าพระยา,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103258,ศพด.บ้านยุบใหญ่,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103259,ศพด.บ้านหมอสวรรค์ราษฎร์บำรุง,,,,แม่เล่ย์,แม่วงศ์,นครสวรรค์,,,,,
60103260,ศพด.บ้านสระหลวง,,,,แม่วงศ์,แม่วงศ์,นครสวรรค์,,,,,
60103261,ศพด.ตำบลแม่วงศ์,,,,แม่วงศ์,แม่วงศ์,นครสวรรค์,,,,,
60103262,ศพด.บ้านไร่ไทรทองพระยาลับแล,,,,แม่วงศ์,แม่วงศ์,นครสวรรค์,,,,,
60103263,ศพด.วังซ่าน,,,,วังซ่าน,แม่วงศ์,นครสวรรค์,,,,,
60103264,ศพด.ธารมะยม,,,,วังซ่าน,แม่วงศ์,นครสวรรค์,,,,,
60103265,ศพด.บ้านตระกุด,,,,วังซ่าน,แม่วงศ์,นครสวรรค์,,,,,
60103266,ศพด.บ้านตะแบกงาม,,,,วังซ่าน,แม่วงศ์,นครสวรรค์,,,,,
60103267,ศพด.วัดคลองม่วง,,,,วังซ่าน,แม่วงศ์,นครสวรรค์,,,,,
60103268,ศพด.บ้านตะเคียนงาม,,,,วังซ่าน,แม่วงศ์,นครสวรรค์,,,,,
60103269,ศพด.ดอนพลอง,,,,วังเมือง,ลาดยาว,นครสวรรค์,,,,,
60103270,ศพด.วังเมือง,,,,วังเมือง,ลาดยาว,นครสวรรค์,,,,,
60103271,ศพด.บ้านบุรีรัมย์,,,,ศาลเจ้าไก่ต่อ,ลาดยาว,นครสวรรค์,,,,,
60103272,ศพด.บ้านวัดใหม่สามัคคี,,,,ศาลเจ้าไก่ต่อ,ลาดยาว,นครสวรรค์,,,,,
60103273,ศพด.บ้านหนองชำนาญ,,,,ศาลเจ้าไก่ต่อ,ลาดยาว,นครสวรรค์,,,,,
60103274,ศพด.บ้านโพธิ์ศรีสามัคคี,,,,ศาลเจ้าไก่ต่อ,ลาดยาว,นครสวรรค์,,,,,
60103275,ศพด.หนองกระดูกเนื้อ,,,,หนองนมวัว,ลาดยาว,นครสวรรค์,,,,,
60103276,ศพด.วัดหนองนมวัว,,,,หนองนมวัว,ลาดยาว,นครสวรรค์,,,,,
60103277,ศพด.หนองยาว,,,,หนองยาว,ลาดยาว,นครสวรรค์,,,,,
60103278,ศพด.ห้วยน้ำหอม,,,,ห้วยน้ำหอม,ลาดยาว,นครสวรรค์,,,,,
60103279,ศพด.สะเดาซ้าย,,,,ห้วยน้ำหอม,ลาดยาว,นครสวรรค์,,,,,
60103280,ศพด.ตำบลสระแก้ว,,,,สระแก้ว,ลาดยาว,นครสวรรค์,,,,,
60103281,ศพด.วัดดอนโม่,,,,สระก้ว,ลาดยาว,นครสวรรค์,,,,,
60103282,ศพด.วังม้า,,,,วังม้า,ลาดยาว,นครสวรรค์,,,,,
60103283,ศพด.วัดเกาะเปา,,,,วังม้า,ลาดยาว,นครสวรรค์,,,,,
60103284,ศพด.ศาลเจ้าไก่ต่อ,,,,ศาลเจ้าไก่ต่อ,ลาดยาว,นครสวรรค์,,,,,
60103285,ศพด.ลาดยาว,,,,ลาดยาว,ลาดยาว,นครสวรรค์,,,,,
60103286,ศพด.ดยาว,,,,ลาดยาว,ลาดยาว,นครสวรรค์,,,,,
60103287,ศพด.วัดสังฆวิถี,,,,เนินขี้เหล็ก,ลาดยาว,นครสวรรค์,,,,,
60103288,ศพด.บ้านดอนจังหัน,,,,เนินขี้เหล็ก,ลาดยาว,นครสวรรค์,,,,,
60103289,ศพด.บ้านหนองไร่,,,,เนินขี้เหล็ก,ลาดยาว,นครสวรรค์,,,,,
60103290,ศพด.บ้านมาบแก,,,,มาบแก,ลาดยาว,นครสวรรค์,,,,,
60103291,ศพด.บ้านหน้าเขา,,,,มาบแก,ลาดยาว,นครสวรรค์,,,,,
60103292,ศพด.ตำบลสร้อยละคร,,,,สร้อยละคร,ลาดยาว,นครสวรรค์,,,,,
60103293,ศพด.บ้านไร่2,,,,บ้านไร่,ลาดยาว,นครสวรรค์,,,,,
60103294,ศพด.บ้านไร่,,,,บ้านไร่,ลาดยาว,นครสวรรค์,,,,,
60103295,ศพด.วัดหนองกลับ,,,,หนองบัว,หนองบัว,นครสวรรค์,,,,,
60103296,ศพด.เนินน้ำเย็น,,,,หนองบัว,หนองบัว,นครสวรรค์,,,,,
60103297,ศพด.หนองบัว,,,,หนองบัว,หนองบัว,นครสวรรค์,,,,,
60103298,ศพด.บ้านน้ำสาดกลาง,,,,ธารทหาร,หนองบัว,นครสวรรค์,,,,,
60103299,ศพด.วัดธารทหาร,,,,ธารทหาร,หนองบัว,นครสวรรค์,,,,,
60103300,ศพด.บ้านป่าเรไร,,,,ธารทหาร,หนองบัว,นครสวรรค์,,,,,
60103301,ศพด.น้ำสาดเหนือ,,,,ธารทหาร,หนองบัว,นครสวรรค์,,,,,
60103302,ศพด.เขานางต่วม,,,,วังบ่อ,หนองบัว,นครสวรรค์,,,,,
60103303,ศพด.เวฬุวัน,,,,วังบ่อ,หนองบัว,นครสวรรค์,,,,,
60103304,ศพด.อุดมพัฒนา,,,,วังบ่อ,หนองบัว,นครสวรรค์,,,,,
60103305,ศพด.โคกสะอาด,,,,วังบ่อ,หนองบัว,นครสวรรค์,,,,,
60103306,ศพด.บ้านวังแรด,,,,หนองกลับ,หนองบัว,นครสวรรค์,,,,,
60103307,ศพด.เนินตาเกิด,,,,หนองกลับ,หนองบัว,นครสวรรค์,,,,,
60103308,ศพด.บ้านท่าเรือ,,,,หนองกลับ,หนองบัว,นครสวรรค์,,,,,
60103309,ศพด.บ้านหนองโบสถ์,,,,หนองกลับ,หนองบัว,นครสวรรค์,,,,,
60103310,ศพด.บ้านเขามะเกลือ,,,,หนองกลับ,หนองบัว,นครสวรรค์,,,,,
60103311,ศพด.บ้านมะเดื่อ,,,,หนองกลับ,หนองบัว,นครสวรรค์,,,,,
60103312,ศพด.วัดเกาะแก้ว,,,,ห้วยร่ม,หนองบัว,นครสวรรค์,,,,,
60103313,ศพด.วัดห้วยร่วม,,,,ห้วยร่ม,หนองบัว,นครสวรรค์,,,,,
60103314,ศพด.บ้านห้วยน้อย,,,,หนองบัว,หนองบัว,นครสวรรค์,,,,,
60103315,ศพด.บ้านคลองลาน,,,,หนองบัว,หนองบัว,นครสวรรค์,,,,,
60103316,ศพด.วัดห้วยถั่วใต้,,,,ห้วยถั่วใต้,หนองบัว,นครสวรรค์,,,,,
60103317,ศพด.ทุ่งทอง,,,,ทุ่งทอง,หนองบัว,นครสวรรค์,,,,,
60103318,ศพด.ห้วยถั่วเหนือ,,,,ห้วยถั่วเหนือ,หนองบัว,นครสวรรค์,,,,,
60103319,ศพด.ห้วยใหญ่,,,,ห้วยใหญ่,หนองบัว,นครสวรรค์,,,,,
60103320,ศพด.บ้านเนินสมบูรณ์สามัคคี,,,,ปางสวรรค์,ชุมตาบง,นครสวรรค์,,,,,
60103321,ศพด.ถังตั้น ม.2,,,,ปางสวรรค์,ชุมตาบง,นครสวรรค์,,,,,
60103322,ศพด.บ้านปางงู,,,,ปางสวรรค์,ชุมตาบง,นครสวรรค์,,,,,
60103323,ศพด.บ้านตลิ่งสูง,,,,ชุมตาบง,ชุมตาบง,นครสวรรค์,,,,,
60103324,ศพด.บ้านชุมม่วง,,,,ชุมตาบง,ชุมตาบง,นครสวรรค์,,,,,
60103325,ศพด.บ้านชุมตาบง,,,,ชุมตาบง,ชุมตาบง,นครสวรรค์,,,,,
